Time [s]	Voltage [V]	Current [A]
0.20764300000155345	1.232356	0.0
0.31260570000085863	1.224303	0.0
0.4060978999987128	1.233519	0.0
0.4956455999999889	1.226567	0.0
0.5852602000013576	1.234904	0.0
0.6735164999990957	1.228676	0.0
0.7635942999986582	1.226089	0.0
0.8528194999998959	1.233931	0.0
0.942564199998742	1.224364	0.0
1.0359759999992093	1.225808	0.0
1.1252287999996042	1.229806	0.0
1.215241199999582	1.231449	0.0
1.3075538000011875	1.227464	0.0
1.397334099998261	1.228105	0.0
1.4869891999987885	1.227906	0.0
1.5759839999991527	1.228303	0.0
1.6669170999994094	1.231451	0.0
1.756802100000641	1.2274	0.0
1.8469500999999582	1.231358	0.0
1.9409677000003285	1.224544	0.0
2.030882200000633	1.234074	0.0
2.1203616999991937	1.232377	0.0
2.2218610999989323	1.234535	0.0
2.3120392999990145	1.227682	0.0
2.400383600001078	1.233351	0.0
2.4955673000004026	1.227867	0.0
2.5845907000002626	1.22958	0.0
2.673874699998123	1.234268	0.0
2.7630171999990125	1.231992	0.0
2.863593400001264	1.228321	0.0
2.953713200000493	1.230037	0.0
3.0419656999984	1.225043	0.0
3.137249300001713	1.230598	0.0
3.2254025000002002	1.234315	0.0
3.3145602000004146	1.228089	0.0
3.4032485999996425	1.23122	0.0
3.4976601999987906	1.23437	0.0
3.5870022000017343	1.22587	0.0
3.6760648999988916	1.227842	0.0
3.7654259000009915	1.225266	0.0
3.8581578000012087	1.233955	0.0
3.9474340999986453	1.228168	0.0
4.036126399998466	1.232574	0.0
4.131441500001529	1.233933	0.0
4.2207779999989725	1.228772	0.0
4.309975000000122	1.228946	0.0
4.3992108999991615	1.224468	0.0
4.49194659999921	1.234614	0.0
4.581192800000281	1.231853	0.0
4.669856199998321	1.233775	0.0
4.765112100001716	1.233921	0.0
4.854397099999915	1.225442	0.0
4.943495799998345	1.227025	0.0
5.03194060000169	1.225239	0.0
5.125595099998463	1.228916	0.0
5.2149005999999645	1.2262	0.0
5.304336199998943	1.224731	0.0
5.399558500001149	1.227473	0.0
5.48891999999978	1.227617	0.0
5.578048300001683	1.225411	0.0
5.666425399998843	1.228333	0.0
5.759065300000657	1.223511	0.0
5.847552700000961	1.224006	0.0
5.936943400000018	1.226748	0.0
6.031414900000527	1.226903	0.0
6.1207914000005985	1.23032	0.0
6.209898400000384	1.22628	0.0
6.298375300000771	1.228205	0.0
6.391825899998366	1.22457	0.0
6.4811431000016455	1.233437	0.0
6.570457699999679	1.233272	0.0
6.665788300000713	1.231814	0.0
6.7549070999994	1.227269	0.0
6.844119199999113	1.22923	0.0
6.9325462999986485	1.224626	0.0
7.025287799999205	1.233902	0.0
7.1145279000011215	1.228022	0.0
7.2031206999999995	1.230683	0.0
7.2982487000008405	1.230697	0.0
7.387487600000895	1.228052	0.0
7.476674800000183	1.228058	0.0
7.565917299998546	1.233018	0.0
7.659410299998854	1.227422	0.0
7.748771099999431	1.232633	0.0
7.838137499998993	1.234195	0.0
7.938856500000838	1.23473	0.0
8.027404199998273	1.229036	0.0
8.115724999999657	1.225199	0.0
8.204970599999797	1.227701	0.0
8.297682299998996	1.227081	0.0
8.386271100000158	1.227226	0.0
8.475522299999284	1.225682	0.0
8.570753500000137	1.226001	0.0
8.660946100000729	1.23391	0.0
8.749894000000495	1.233754	0.0
8.839161899999453	1.227071	0.0
8.931763699998555	1.234388	0.0
9.020335000001069	1.234136	0.0
9.109867999999551	1.234665	0.0
9.205100999999559	1.233838	0.0
9.294405600001483	1.224897	0.0
