Time [s]	Voltage [V]	Current [A]
0.20766349998302758	1.010089	0.0
0.2966718999668956	1.010093	0.0
0.3854058000142686	1.010135	0.0
0.4787699999869801	1.010144	0.0
0.5684926999965683	1.010085	0.0
0.6578878000145778	1.010093	0.0
0.751289599982556	1.01009	0.0
0.8409976999973878	1.010082	0.0
0.9305459999595769	1.010085	0.0
1.0235560999717563	1.010086	0.0
1.1124842999852262	1.010074	0.0
1.2012970999930985	1.010068	0.0
1.2908079999615438	1.010068	0.0
1.380336800008081	1.010069	0.0
1.4699872999917716	1.010072	0.0
1.5610102000064217	1.010073	0.0
1.6535248999716714	1.0101	0.0
1.7423499000142328	1.010103	0.0
1.8313868999830447	1.010113	0.0
1.925538300012704	1.010086	0.0
2.0142856999882497	1.010099	0.0
2.104157399968244	1.010092	0.0
2.206815399986226	1.010066	0.0
2.295910399989225	1.010051	0.0
2.3852410999825224	1.010031	0.0
2.4803532999940217	1.010047	0.0
2.570690599968657	1.010035	0.0
2.6595051999902353	1.010008	0.0
2.7487952999654226	1.010039	0.0
2.8498966000042856	1.010052	0.0
2.9389879999798723	1.010063	0.0
3.02745930000674	1.010077	0.0
3.123397399962414	1.010088	0.0
3.220552899991162	1.010103	0.0
3.309045400004834	1.010082	0.0
3.405629899993073	1.010097	0.0
3.4948795000091195	1.010062	0.0
3.583466899988707	1.010065	0.0
3.675201100006234	1.010068	0.0
3.767603099986445	1.0101	0.0
3.857414299971424	1.010077	0.0
3.946568999963347	1.010055	0.0
4.046968000009656	1.010043	0.0
4.136158499983139	1.010055	0.0
4.224243899981957	1.010067	0.0
4.313327899959404	1.010073	0.0
4.405693500011694	1.010043	0.0
4.4946916999761015	1.010034	0.0
4.583954099973198	1.010039	0.0
4.684421400015708	1.010072	0.0
4.773564199975226	1.010066	0.0
4.862865499977488	1.010069	0.0
4.951855599996634	1.010069	0.0
5.043410499987658	1.010065	0.0
5.132725899980869	1.010079	0.0
5.221938800008502	1.010043	0.0
5.317238899995573	1.010048	0.0
5.406321099959314	1.010035	0.0
5.495610499987379	1.010029	0.0
5.584581199975219	1.010051	0.0
5.676237799983937	1.010066	0.0
5.765221800014842	1.010049	0.0
5.854473899991717	1.010065	0.0
5.949684199993499	1.010029	0.0
6.038965100015048	1.010058	0.0
6.129134799994063	1.010064	0.0
6.224884099967312	1.010078	0.0
6.313913499994669	1.010098	0.0
6.402984399988782	1.010093	0.0
6.492827499983832	1.01011	0.0
6.58781799999997	1.010105	0.0
6.676951800007373	1.010085	0.0
6.766973199963104	1.010085	0.0
6.861532800015993	1.010099	0.0
6.950721499975771	1.010085	0.0
7.039621100004297	1.01011	0.0
7.128903399978299	1.010102	0.0
7.2205466000013985	1.010094	0.0
7.310359700000845	1.010112	0.0
7.399460399989039	1.010117	0.0
7.499750799965113	1.010088	0.0
7.588059099973179	1.010068	0.0
7.678216299973428	1.0101	0.0
7.7680694999871776	1.010078	0.0
7.859579999989364	1.010087	0.0
7.948675999999978	1.01009	0.0
8.038010099960957	1.010068	0.0
8.139047999982722	1.010069	0.0
8.228898699977435	1.010065	0.0
8.318262099986896	1.010081	0.0
8.407214800012298	1.010062	0.0
8.498706199985463	1.010085	0.0
8.586918599961791	1.010074	0.0
8.67616159998579	1.01006	0.0
8.771576699975412	1.010067	0.0
8.861558899981901	1.010055	0.0
8.950956100015901	1.010064	0.0
9.040116899996065	1.010085	0.0
9.13191439997172	1.010076	0.0
9.222705299966037	1.010071	0.0
9.311558899993543	1.010069	0.0
