	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	400-500	1.428337
1	20.0	0.0	400-500	1.386763
2	40.0	0.0	400-500	1.413092
3	60.0	0.0	400-500	1.413644
4	80.0	0.0	400-500	1.378501
5	100.0	0.0	400-500	1.424693
6	0.0	20.0	400-500	1.575271
7	20.0	20.0	400-500	1.575335
8	40.0	20.0	400-500	1.528966
9	60.0	20.0	400-500	1.563434
10	80.0	20.0	400-500	1.557468
11	100.0	20.0	400-500	1.557332
12	0.0	40.0	400-500	1.610211
13	20.0	40.0	400-500	1.634813
14	40.0	40.0	400-500	1.631768
15	60.0	40.0	400-500	1.633637
16	80.0	40.0	400-500	1.652744
17	100.0	40.0	400-500	1.663617
18	0.0	60.0	400-500	1.652049
19	20.0	60.0	400-500	1.67062
20	40.0	60.0	400-500	1.704738
21	60.0	60.0	400-500	1.678076
22	80.0	60.0	400-500	1.706048
23	100.0	60.0	400-500	1.673762
24	0.0	80.0	400-500	1.68029
25	20.0	80.0	400-500	1.715104
26	40.0	80.0	400-500	1.687014
27	60.0	80.0	400-500	1.674629
28	80.0	80.0	400-500	1.709374
29	100.0	80.0	400-500	1.713977
30	0.0	100.0	400-500	1.624656
31	20.0	100.0	400-500	1.651268
32	40.0	100.0	400-500	1.680305
33	60.0	100.0	400-500	1.675077
34	80.0	100.0	400-500	1.658014
35	100.0	100.0	400-500	1.69861
