Wavelength [nm]	Intensity [A.U.]
498.44518984535415	-6.517782657244835e-05
498.6016091236286	2.90801518358993e-05
498.75803703702434	1.6271793419309034e-06
498.9144735830729	-0.0002387522578179191
499.0709187593057	2.2830488530823396e-05
499.22737256325416	0.0001342904949033653
499.3838349924497	-0.00010168914509897066
499.54030604442374	8.611551267969137e-05
499.6967857167077	2.591750597824451e-05
499.8532740068331	0.00015237933243899627
500.0097709123313	6.565659188781099e-05
500.1662764307338	4.0617714020343753e-05
500.3227905595719	9.320003396708177e-05
500.47931329637714	0.00015376467903312568
500.6358446386809	0.00018977731317274362
500.7923845840147	4.351560292999675e-05
500.94893312990985	0.00017142902097701026
501.1054902738979	0.00012523178040205394
501.2620560135102	0.00021478438351418182
501.41863034627823	0.00042881839492476853
501.57521326973335	0.00021856497790495802
501.7318047814071	0.00021399964173410735
501.88840487883084	0.00010895653396669122
502.04501355953596	4.644985947329523e-06
502.20163082105404	6.127646131951165e-06
502.35825666091637	-0.0001795244060924366
502.51489107665446	-3.99517616252969e-05
502.6715340657997	-0.00022248816949709042
502.8281856258835	5.3992203855666676e-05
502.9848457544374	-1.4027478784641528e-05
503.1415144489927	1.2392767304370494e-05
503.298191707081	0.00014196587691132152
503.45487752623353	0.00024954538919838294
503.6115719039819	1.0626848319813143e-05
503.7682748378574	6.05539162971746e-06
503.92498632539156	0.00014387567127351262
504.0817063641158	0.0002471488908726817
504.2384349515615	0.00017344763235669063
504.3951720852601	0.00013251696149250812
504.55191776274313	0.00017848780151286025
504.7086719815419	3.6355203686549696e-05
504.8654347391879	5.727023200796099e-05
505.0222060332125	9.304927345548278e-05
505.1789858611473	-0.0001293243465432324
505.33577422052355	5.121957363428306e-05
505.49257110887277	-0.0001719126769305307
505.64937652372635	-0.00022805085262042594
505.80619046261575	-8.191033296733791e-05
505.9630129230724	-5.766133293499982e-05
506.11984390262774	6.531955514124817e-05
506.2766833988132	7.540388660291257e-05
506.4335314091602	-9.46041714855286e-05
506.59038793120015	1.2861294999268302e-05
506.7472529624646	5.193144092401815e-05
506.9041265004848	0.00018324085682439422
507.0610085427923	0.00011133385522210852
507.2178990869185	-1.436992331354308e-05
507.3747981303949	0.00021211426167782758
507.5317056707528	0.00019059297508111257
507.68862170552376	0.00023853724460844205
507.8455462322391	0.00019664963823810673
508.00247924843035	0.0001020850155932744
508.1594207516289	0.00011962109475182748
508.31637073936616	-0.0001232829360929848
508.47332920917364	2.0913517144839336e-05
508.63029615858267	-8.564380041473684e-05
508.78727158512476	-0.0001462358601098949
508.9442554863313	-6.254970250792184e-05
509.10124785973375	0.00010536699693924225
509.2582487028635	-8.289783784639434e-05
509.41525801325207	0.00016282601954012224
509.5722757884308	-0.00014492979859583
509.72930202593113	-5.2888587610413357e-05
509.88633672328456	0.00010226835071860405
510.04337987802245	-1.2672152772887617e-05
510.20043148767627	1.937676360175792e-05
510.3574915497775	0.00011055067971757991
510.5145600618574	0.00019919958573730957
510.6716370214476	0.0003264532115897878
510.8287224260795	4.938976610511056e-05
510.9858162732844	0.00024630671522773447
511.1429185605939	0.00010388692461014432
511.30002928553927	0.00020141188460354943
511.4571484456521	8.30022619212887e-05
511.6142760384637	-5.935932842709035e-05
511.77141206150554	2.8566955877643603e-05
511.92855651230906	-1.2219607148937044e-05
512.0857093884057	-0.0001399645626742584
512.2428706873269	-6.445763823999128e-05
512.400040406604	1.0873181388916202e-05
512.5572185437686	5.6673676721584874e-05
512.714405096352	-5.723503700486798e-05
512.8716000618858	0.00014185504633459545
513.0288034379012	7.749834874887502e-05
513.1860152219298	-5.327360190855649e-06
513.3432354115029	6.247878237226102e-05
513.500464004152	0.00011710240991062326
513.6577009974086	-3.652807951006352e-05
513.814946388804	0.00017450233924874457
513.9722001758697	0.00017710492842838759
514.1294623561372	0.00010395132219260953
514.2867329271378	0.00014257369929120408
514.444011886403	9.067727044737443e-05
514.6012992314643	-3.5134111368566556e-05
514.7585949598531	2.4751364324008235e-05
514.9158990691006	2.093975470945681e-05
515.0732115567387	0.00011132150423079973
515.2305324202983	3.9663503624594545e-05
