	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	800-900	0.595987
1	20.0	0.0	800-900	0.690091
2	40.0	0.0	800-900	0.496798
3	60.0	0.0	800-900	0.484742
4	80.0	0.0	800-900	0.641145
5	100.0	0.0	800-900	0.632337
6	0.0	20.0	800-900	0.400566
7	20.0	20.0	800-900	0.388878
8	40.0	20.0	800-900	0.352032
9	60.0	20.0	800-900	0.337369
10	80.0	20.0	800-900	0.384898
11	100.0	20.0	800-900	0.388268
12	0.0	40.0	800-900	0.255538
13	20.0	40.0	800-900	0.244509
14	40.0	40.0	800-900	0.278289
15	60.0	40.0	800-900	0.279531
16	80.0	40.0	800-900	0.256003
17	100.0	40.0	800-900	0.256471
18	0.0	60.0	800-900	0.22385
19	20.0	60.0	800-900	0.204072
20	40.0	60.0	800-900	0.209623
21	60.0	60.0	800-900	0.221693
22	80.0	60.0	800-900	0.197788
23	100.0	60.0	800-900	0.214432
24	0.0	80.0	800-900	0.202518
25	20.0	80.0	800-900	0.186726
26	40.0	80.0	800-900	0.213142
27	60.0	80.0	800-900	0.234537
28	80.0	80.0	800-900	0.194395
29	100.0	80.0	800-900	0.193381
30	0.0	100.0	800-900	0.2815
31	20.0	100.0	800-900	0.283523
32	40.0	100.0	800-900	0.241214
33	60.0	100.0	800-900	0.222169
34	80.0	100.0	800-900	0.243395
35	100.0	100.0	800-900	0.198361
