	x [mm]	y [mm]	Ratio 400-500 nm [%]	Ratio 500-600 nm [%]	Ratio 600-700 nm [%]	Ratio 700-800 nm [%]	Ratio 800-900 nm [%]	Ratio 900-1100 nm [%]
0	0.0	0.0	26.281403386183374	26.787787330401347	13.711282238982939	22.745426289799948	7.4498409876559455	3.0242597669764493
1	20.0	0.0	25.516439374561937	26.909356031726027	13.616177740725679	21.3662898518288	8.626139275787896	3.965597725369662
2	40.0	0.0	26.000885741930716	27.6081370788184	13.964535807014501	24.05900655943609	6.209979118672425	2.1574556941278513
3	60.0	0.0	26.011043742291097	27.922370263480055	14.153079292231045	23.093938678088318	6.0592723613448625	2.760295662564634
4	80.0	0.0	25.364412387271773	27.242405891696798	13.789488882482857	21.888054977617372	8.014309496185678	3.701328364745515
5	100.0	0.0	26.214356875124743	27.065392724834155	13.789148214947605	23.375458476528035	7.904211208938999	1.6514324996264749
6	0.0	20.0	28.98499232538197	33.082388712332104	16.16545753284928	15.301460767274714	5.00707629244225	1.458624369719691
7	20.0	20.0	28.98616919966802	33.25406266198121	16.24156699484655	15.30913913708509	4.860969611635778	1.348092394783328
8	40.0	20.0	28.132973778279602	32.637325312596296	16.03044985330132	16.108182951502094	4.400400539884712	2.69066756443596
9	60.0	20.0	28.767191767919755	33.55017902066748	16.32738184756442	15.366478075804773	4.21711210589777	1.7716571821458202
10	80.0	20.0	28.657419150565225	33.236642103135885	16.1550966728871	15.326225047043241	4.811220289100097	1.8133967372684678
11	100.0	20.0	28.65490025996183	32.60507446593233	15.920206146654268	15.703600371492657	4.853348811963676	2.2628699439952182
12	0.0	40.0	29.62787531429892	36.07248090944194	17.257455426490637	11.1536372897961	3.1942303915659704	2.694320668406447
13	20.0	40.0	30.08056535707316	36.73879937951988	17.476321690713533	10.106310159293601	3.056362607535527	2.5416408058643083
14	40.0	40.0	30.024528106112754	36.17916369982734	17.287971786637303	10.592725995521421	3.4786108238041074	2.436999588097069
15	60.0	40.0	30.058918069835652	35.98914233648285	17.20349553564757	10.865082201463414	3.4941317903502926	2.3892300662202186
16	80.0	40.0	30.410490805281114	36.50223806594494	17.365793910540358	10.768272637417502	3.2000326242626653	1.7531719565534327
17	100.0	40.0	30.610553448640992	36.464390408932054	17.43394916066577	10.781933474695846	3.20589196762567	1.5032815394396681
18	0.0	60.0	30.397709512481374	37.5572787088155	17.780674807469005	9.343443774656054	2.7981209600156474	2.1227722365624326
19	20.0	60.0	30.739403025208308	38.10364451111753	18.10414052735406	8.661277372145719	2.5508987692836493	1.8406357948907273
20	40.0	60.0	31.367186701064945	38.14475258627264	17.91678875443311	8.780303504015313	2.6202891709834946	1.1706792832304842
21	60.0	60.0	30.87660637126524	37.679201011787214	17.896706542858443	9.173583196545827	2.771164694020825	1.6027381835224495
22	80.0	60.0	31.39127567945464	38.12193039517043	18.125899836892952	9.203022459794504	2.472344220745044	0.685527407942468
23	100.0	60.0	30.797218362441864	37.470783008412425	17.79009290164554	8.843183715313053	2.6803975378069804	2.418324474380129
24	0.0	80.0	30.917328540951456	38.230322329473715	18.163302347813666	9.44464316413017	2.5314764395087996	0.7129271781222103
25	20.0	80.0	31.557921635118415	38.87609367272634	18.37053086803438	8.422632936849071	2.3340737294539884	0.43874715781779455
26	40.0	80.0	31.04106016129424	38.0807698728648	17.9914742102439	8.390834810593162	2.66427584553972	1.8315850994641885
27	60.0	80.0	30.813169837424915	37.34642654297015	17.688239806278325	9.035861568185789	2.9317178323924	2.1845844127484364
28	80.0	80.0	31.452487451735514	37.989159379013564	17.81101305068652	8.691999097696574	2.429932199486311	1.6254088213815112
29	100.0	80.0	31.53717471689087	38.177444316996855	18.01689883809124	8.63926596125088	2.4172686884371286	1.2119474783330382
30	0.0	100.0	29.893679220382236	36.279063993393635	17.168576676084523	10.060208401827973	3.518753881598531	3.0797178267130967
31	20.0	100.0	30.383333247068975	37.06507803128559	17.560181529566538	9.157306248214784	3.5440385736037197	2.2900623702604115
32	40.0	100.0	30.917615930513712	37.238192638096976	17.53441980869084	9.525089450730668	3.015176619924659	1.7695055520431393
33	60.0	100.0	30.82141091862889	37.039575517590514	17.615152808309617	10.34456863079147	2.777108681592177	1.4021834430873434
34	80.0	100.0	30.507451885065016	36.72697335479953	17.455251625936544	9.909678792516644	3.0424366748262246	2.3582076668560434
35	100.0	100.0	31.254428994175083	37.51016312767388	17.925310316108753	10.478790381893667	2.4795126767828948	0.3517945033657205
