	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	700-800	1.526539
1	20.0	0.0	700-800	1.433979
2	40.0	0.0	700-800	1.614698
3	60.0	0.0	700-800	1.549929
4	80.0	0.0	700-800	1.468997
5	100.0	0.0	700-800	1.568823
6	0.0	20.0	700-800	1.026944
7	20.0	20.0	700-800	1.027459
8	40.0	20.0	700-800	1.081086
9	60.0	20.0	700-800	1.031307
10	80.0	20.0	700-800	1.028606
11	100.0	20.0	700-800	1.053933
12	0.0	40.0	700-800	0.748566
13	20.0	40.0	700-800	0.678276
14	40.0	40.0	700-800	0.710921
15	60.0	40.0	700-800	0.7292
16	80.0	40.0	700-800	0.722703
17	100.0	40.0	700-800	0.72362
18	0.0	60.0	700-800	0.627077
19	20.0	60.0	700-800	0.581294
20	40.0	60.0	700-800	0.589282
21	60.0	60.0	700-800	0.615677
22	80.0	60.0	700-800	0.617653
23	100.0	60.0	700-800	0.593502
24	0.0	80.0	700-800	0.633869
25	20.0	80.0	700-800	0.565277
26	40.0	80.0	700-800	0.563143
27	60.0	80.0	700-800	0.606434
28	80.0	80.0	700-800	0.583356
29	100.0	80.0	700-800	0.579817
30	0.0	100.0	700-800	0.675182
31	20.0	100.0	700-800	0.614584
32	40.0	100.0	700-800	0.639268
33	60.0	100.0	700-800	0.694266
34	80.0	100.0	700-800	0.665079
35	100.0	100.0	700-800	0.703275
