	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	600-700	0.745178
1	20.0	0.0	600-700	0.74001
2	40.0	0.0	600-700	0.758942
3	60.0	0.0	600-700	0.769189
4	80.0	0.0	600-700	0.749429
5	100.0	0.0	600-700	0.74941
6	0.0	20.0	600-700	0.878557
7	20.0	20.0	600-700	0.882694
8	40.0	20.0	600-700	0.87122
9	60.0	20.0	600-700	0.887358
10	80.0	20.0	600-700	0.877994
11	100.0	20.0	600-700	0.865229
12	0.0	40.0	600-700	0.937905
13	20.0	40.0	600-700	0.9498
14	40.0	40.0	600-700	0.939564
15	60.0	40.0	600-700	0.934973
16	80.0	40.0	600-700	0.943793
17	100.0	40.0	600-700	0.947497
18	0.0	60.0	600-700	0.966341
19	20.0	60.0	600-700	0.983921
20	40.0	60.0	600-700	0.973739
21	60.0	60.0	600-700	0.972647
22	80.0	60.0	600-700	0.985103
23	100.0	60.0	600-700	0.966853
24	0.0	80.0	600-700	0.987136
25	20.0	80.0	600-700	0.998398
26	40.0	80.0	600-700	0.977798
27	60.0	80.0	600-700	0.961317
28	80.0	80.0	600-700	0.96799
29	100.0	80.0	600-700	0.979179
30	0.0	100.0	600-700	0.933075
31	20.0	100.0	600-700	0.954358
32	40.0	100.0	600-700	0.952958
33	60.0	100.0	600-700	0.957345
34	80.0	100.0	600-700	0.948655
35	100.0	100.0	600-700	0.974202
