	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	500-600	1.34612
1	20.0	0.0	500-600	1.352229
2	40.0	0.0	500-600	1.387344
3	60.0	0.0	500-600	1.403134
4	80.0	0.0	500-600	1.368965
5	100.0	0.0	500-600	1.36007
6	0.0	20.0	500-600	1.662432
7	20.0	20.0	500-600	1.671058
8	40.0	20.0	500-600	1.640067
9	60.0	20.0	500-600	1.685939
10	80.0	20.0	500-600	1.670183
11	100.0	20.0	500-600	1.638446
12	0.0	40.0	500-600	1.812687
13	20.0	40.0	500-600	1.846171
14	40.0	40.0	500-600	1.818048
15	60.0	40.0	500-600	1.8085
16	80.0	40.0	500-600	1.834283
17	100.0	40.0	500-600	1.832381
18	0.0	60.0	500-600	1.8873
19	20.0	60.0	500-600	1.914756
20	40.0	60.0	500-600	1.916822
21	60.0	60.0	500-600	1.893427
22	80.0	60.0	500-600	1.915675
23	100.0	60.0	500-600	1.882954
24	0.0	80.0	500-600	1.921122
25	20.0	80.0	500-600	1.953573
26	40.0	80.0	500-600	1.913607
27	60.0	80.0	500-600	1.876705
28	80.0	80.0	500-600	1.909003
29	100.0	80.0	500-600	1.918465
30	0.0	100.0	500-600	1.823069
31	20.0	100.0	500-600	1.862567
32	40.0	100.0	500-600	1.871266
33	60.0	100.0	500-600	1.861285
34	80.0	100.0	500-600	1.845577
35	100.0	100.0	500-600	1.884933
