	x [mm]	y [mm]	Integrated Intensity 400-500 nm [A.U.]	Integrated Intensity 500-600 nm [A.U.]	Integrated Intensity 600-700 nm [A.U.]	Integrated Intensity 700-800 nm [A.U.]	Integrated Intensity 800-900 nm [A.U.]	Integrated Intensity 900-1100 nm [A.U.]
0	0.0	0.0	0.0007019546666666	0.0011916146666666	0.0017539333333333	0.00267651	0.020240754842918575	0.5053329513346766
1	10.0	0.0	0.000741196	0.0013149333333333	0.0020517599999999	0.0031174133333333	0.0240238071544825	0.56810393948361
2	20.0	0.0	0.000696112	0.0012921999999999	0.0023622	0.00402754	-0.007981705183517575	-0.3468264805178521
3	30.0	0.0	0.000684224	0.00131672	0.0026899466666666	0.0046818133333333	0.028824139555237174	0.5128597469940427
4	40.0	0.0	0.0006320133333333	0.0012943266666666	0.0028402266666666	0.00504003	0.030608496843806426	0.4609413055997211
5	50.0	0.0	0.0005934133333333	0.0012483733333333	0.0029846266666666	0.00530424	0.02153610800630475	0.30118119148108785
6	60.0	0.0	0.0005524093333333	0.0012238559999999	0.00294688	0.0053536066666666	-0.00647226406610535	-0.3028379198980811
7	70.0	0.0	0.0005158613333333	0.0010895466666666	0.00269872	0.0049980166666666	-0.00162772383523075	-0.2331485526384204
8	80.0	0.0	0.0004820213333333	0.00102418	0.0025347866666666	0.0045335833333333	0.015750660986082875	0.3730555785083411
9	0.0	10.0	0.0005529013333333	0.001005064	0.0017217733333333	0.0027694833333333	0.012456101404319676	0.2641033524135987
10	10.0	10.0	0.0006186719999999	0.0011134573333333	0.0020392266666666	0.0034512033333333	0.030196257919023275	0.708925741983454
11	20.0	10.0	0.0006961799999999	0.00141024	0.0028119866666666	0.0047462133333333	0.00193671922912315	-0.1472421704523122
12	30.0	10.0	0.0009352013333333	0.0021423199999999	0.0045116533333333	0.0071429066666666	0.027801963225055727	0.34859642599601154
13	40.0	10.0	0.0008424986666666	0.0019832666666666	0.00432252	0.0071143199999999	0.03448897955481853	0.3383971707575324
14	50.0	10.0	0.0006791719999999	0.0015933333333333	0.0039207733333333	0.0067871133333333	0.022933126802992025	0.18253476122116336
15	60.0	10.0	0.0005837866666666	0.0013929226666666	0.0037486133333333	0.00646622	0.007967319061680925	0.05465861881915775
16	70.0	10.0	0.0005612586666666	0.0013332613333333	0.00366472	0.0063300966666666	0.0115578502299385	0.1722984966627742
17	80.0	10.0	0.0004460826666666	0.001051456	0.0027298933333333	0.0046694999999999	-0.004115621334756025	-0.20213251734036425
18	0.0	20.0	0.0005153786666666	0.0010207373333333	0.0019558133333333	0.0033827966666666	0.002215757796139075	-0.0984207656621154
19	10.0	20.0	0.0006462466666666	0.00142816	0.00289016	0.0048754066666666	0.008110150436982976	-0.05904358391415655
20	20.0	20.0	0.0012609626666666	0.0030297733333333	0.0057483466666666	0.0082577333333333	0.012900797163115525	-0.3210013804471164
21	30.0	20.0	0.0027543999999999	0.0066065866666666	0.0113984133333333	0.0170889999999999	0.5994466605970293	1.7953432972952355
22	40.0	20.0	0.01758448	0.0408529333333333	0.0699731999999999	0.0950217333333333	0.5515478887412039	1.0312702291178326
23	50.0	20.0	0.0044380133333333	0.0101407199999999	0.0184571999999999	0.0307497333333333	0.2811336009300042	0.5758866467780241
24	60.0	20.0	0.00083932	0.00208768	0.0047646799999999	0.0091042933333333	0.05789422550530157	0.938500962352368
25	70.0	20.0	0.0005286573333333	0.001287776	0.0032726133333333	0.0053950099999999	-0.0062259997017989	-0.31305693536418555
26	80.0	20.0	0.0003091226666666	0.0007020733333333	0.0012932533333333	0.0022692633333333	0.008704347403322625	0.13643357043704962
27	0.0	30.0	0.0005421853333333	0.0011828146666666	0.0024813866666666	0.0043771833333333	0.017014610735616924	0.28026620902067434
28	10.0	30.0	0.0012060706666666	0.0029804933333333	0.0056616533333333	0.00812798	-0.0007998131452417	-0.361948759147498
29	20.0	30.0	0.0252312	0.069064	0.122416	0.1480883333333333	0.3565526066917625	0.8142917106839391
30	30.0	30.0	1.4381093333333332	4.202746666666666	5.955613333333333	3.23461	5.125467974427682	10.807531688420676
31	40.0	30.0	2.374033333333333	7.031253333333333	10.037906666666666	5.437969999999999	4.192808664756113	7.230290813049274
32	50.0	30.0	0.761028	1.7721733333333332	2.0924	1.1868166666666664	3.0209901401766466	5.702778603839375
33	60.0	30.0	0.0187534666666666	0.0509801333333333	0.0951013333333333	0.1290633333333333	0.1624190439901153	-0.1847008092167523
34	70.0	30.0	0.0006278493333333	0.0016941733333333	0.0030968266666666	0.00730894	0.032451499091763425	0.6978425218792869
35	80.0	30.0	0.0004201333333333	0.0010367853333333	0.0025526533333333	0.0041290433333333	-0.0110734019435735	-0.4592568484043342
36	0.0	40.0	0.0007043693333333	0.0016139333333333	0.0034618933333333	0.0060183833333333	-0.006443142718941675	-0.2768552701109679
37	10.0	40.0	0.0018660399999999	0.0048985333333333	0.0084611466666666	0.0111369333333333	0.0399962813937955	0.7516331712919009
38	20.0	40.0	0.3223546666666666	0.87054	1.3923866666666669	0.9318566666666668	0.6725170724767577	1.2450210133831836
39	30.0	40.0	7.035026666666666	21.779333333333334	33.65306666666667	18.37873333333333	4.405795127646525	9.05571474497084
40	40.0	40.0	6.485973333333334	18.682266666666663	26.230000000000004	14.803033333333332	12.55618866750151	30.41768576774731
41	50.0	40.0	2.801986666666666	8.214013333333334	10.438293333333334	5.90146	6.889563852469685	10.417064812515886
42	60.0	40.0	0.337436	0.9219119999999998	1.2046093333333332	0.8481666666666666	0.404517390828926	1.51188304891713
43	70.0	40.0	0.0015658346666666	0.0037668266666666	0.0065497066666666	0.0163597333333333	0.00059120797209795	-0.15489863587434027
44	80.0	40.0	0.0006211213333333	0.00177948	0.00538148	0.0089062866666666	0.01660341616302135	0.3081152512390269
45	0.0	50.0	0.0006438973333333	0.00146956	0.0031651199999999	0.0055401199999999	0.005782756187527675	0.10480101392395967
46	10.0	50.0	0.0018420413333333	0.0048356266666666	0.0083917866666666	0.0128244999999999	0.02903456057126485	0.5530669199848155
47	20.0	50.0	1.3527866666666668	4.1293066666666665	6.119999999999999	3.4361333333333333	0.27618205759504244	0.8171928272493487
48	30.0	50.0	3.560133333333333	10.072346666666666	14.462266666666665	8.139106666666665	3.974961123008633	6.76388334853015
49	40.0	50.0	2.205526666666666	6.274693333333333	9.90408	8.897199999999998	6.213592137807964	7.970493928955828
50	50.0	50.0	5.937973333333333	17.0872	20.32346666666667	11.906266666666664	5.879321484973837	8.581299757322265
