	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	700-800	0.033772
1	10.0	0.0	700-800	0.034908
2	20.0	0.0	700-800	-0.078026
3	30.0	0.0	700-800	0.057021
4	40.0	0.0	700-800	0.067468
5	50.0	0.0	700-800	0.106953
6	60.0	0.0	700-800	-0.120074
7	70.0	0.0	700-800	-0.14877
8	80.0	0.0	700-800	0.076568
9	0.0	10.0	700-800	0.06577
10	10.0	10.0	700-800	0.031035
11	20.0	10.0	700-800	-0.234839
12	30.0	10.0	700-800	0.122565
13	40.0	10.0	700-800	0.12333
14	50.0	10.0	700-800	0.208521
15	60.0	10.0	700-800	0.580044
16	70.0	10.0	700-800	0.217036
17	80.0	10.0	700-800	-0.158798
18	0.0	20.0	700-800	-0.25415
19	10.0	20.0	700-800	-0.796254
20	20.0	20.0	700-800	-0.191236
21	30.0	20.0	700-800	0.047147
22	40.0	20.0	700-800	0.353068
23	50.0	20.0	700-800	0.224123
24	60.0	20.0	700-800	0.060307
25	70.0	20.0	700-800	-0.117255
26	80.0	20.0	700-800	0.101729
27	0.0	30.0	700-800	0.096046
28	10.0	30.0	700-800	-0.158221
29	20.0	30.0	700-800	0.647208
30	30.0	30.0	700-800	0.705654
31	40.0	30.0	700-800	1.005294
32	50.0	30.0	700-800	0.547957
33	60.0	30.0	700-800	3.189044
34	70.0	30.0	700-800	0.066019
35	80.0	30.0	700-800	-0.059957
36	0.0	40.0	700-800	-0.148773
37	10.0	40.0	700-800	0.091376
38	20.0	40.0	700-800	1.150772
39	30.0	40.0	700-800	1.307923
40	40.0	40.0	700-800	0.909998
41	50.0	40.0	700-800	0.886812
42	60.0	40.0	700-800	1.088719
43	70.0	40.0	700-800	-0.870952
44	80.0	40.0	700-800	0.175081
45	0.0	50.0	700-800	0.306271
46	10.0	50.0	700-800	0.1411
47	20.0	50.0	700-800	1.429573
48	30.0	50.0	700-800	1.162907
49	40.0	50.0	700-800	1.440056
50	50.0	50.0	700-800	1.146198
51	60.0	50.0	700-800	1.548814
52	70.0	50.0	700-800	0.356166
53	80.0	50.0	700-800	-0.470055
54	0.0	60.0	700-800	0.190563
55	10.0	60.0	700-800	0.14835
56	20.0	60.0	700-800	2.994014
57	30.0	60.0	700-800	1.465275
58	40.0	60.0	700-800	1.415965
59	50.0	60.0	700-800	1.459143
60	60.0	60.0	700-800	1.495536
61	70.0	60.0	700-800	0.195535
62	80.0	60.0	700-800	-0.435143
63	0.0	70.0	700-800	0.03819
64	10.0	70.0	700-800	0.087541
65	20.0	70.0	700-800	0.251549
66	30.0	70.0	700-800	1.454076
67	40.0	70.0	700-800	1.478297
68	50.0	70.0	700-800	1.993192
69	60.0	70.0	700-800	-4.383576
70	70.0	70.0	700-800	-0.207161
71	80.0	70.0	700-800	-0.277241
72	0.0	80.0	700-800	0.026975
73	10.0	80.0	700-800	0.064594
74	20.0	80.0	700-800	0.221713
75	30.0	80.0	700-800	-0.476195
76	40.0	80.0	700-800	0.200543
77	50.0	80.0	700-800	0.433621
78	60.0	80.0	700-800	-0.689664
79	70.0	80.0	700-800	0.103837
80	80.0	80.0	700-800	0.616055
