	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	400-500	0.007172
1	10.0	0.0	400-500	0.006721
2	20.0	0.0	400-500	-0.010921
3	30.0	0.0	400-500	0.006748
4	40.0	0.0	400-500	0.006851
5	50.0	0.0	400-500	0.009689
6	60.0	0.0	400-500	-0.010033
7	70.0	0.0	400-500	-0.012434
8	80.0	0.0	400-500	0.006592
9	0.0	10.0	400-500	0.010633
10	10.0	10.0	400-500	0.004505
11	20.0	10.0	400-500	-0.027894
12	30.0	10.0	400-500	0.012995
13	40.0	10.0	400-500	0.011827
14	50.0	10.0	400-500	0.016897
15	60.0	10.0	400-500	0.042407
16	70.0	10.0	400-500	0.015583
17	80.0	10.0	400-500	-0.012285
18	0.0	20.0	400-500	-0.031355
19	10.0	20.0	400-500	-0.085469
20	20.0	20.0	400-500	-0.023647
21	30.0	20.0	400-500	0.006154
22	40.0	20.0	400-500	0.05291
23	50.0	20.0	400-500	0.026194
24	60.0	20.0	400-500	0.004502
25	70.0	20.0	400-500	-0.009304
26	80.0	20.0	400-500	0.011222
27	0.0	30.0	400-500	0.009634
28	10.0	30.0	400-500	-0.019012
29	20.0	30.0	400-500	0.089296
30	30.0	30.0	400-500	0.254056
31	40.0	30.0	400-500	0.355395
32	50.0	30.0	400-500	0.284533
33	60.0	30.0	400-500	0.375239
34	70.0	30.0	400-500	0.004592
35	80.0	30.0	400-500	-0.00494
36	0.0	40.0	400-500	-0.0141
37	10.0	40.0	400-500	0.012398
38	20.0	40.0	400-500	0.322361
39	30.0	40.0	400-500	0.405416
40	40.0	40.0	400-500	0.322874
41	50.0	40.0	400-500	0.340962
42	60.0	40.0	400-500	0.350747
43	70.0	40.0	400-500	-0.067504
44	80.0	40.0	400-500	0.009887
45	0.0	50.0	400-500	0.028825
46	10.0	50.0	400-500	0.016412
47	20.0	50.0	400-500	0.455758
48	30.0	50.0	400-500	0.411911
49	40.0	50.0	400-500	0.289072
50	50.0	50.0	400-500	0.462904
51	60.0	50.0	400-500	0.519068
52	70.0	50.0	400-500	0.034416
53	80.0	50.0	400-500	-0.033235
54	0.0	60.0	400-500	0.018482
55	10.0	60.0	400-500	0.0168
56	20.0	60.0	400-500	0.747499
57	30.0	60.0	400-500	0.497632
58	40.0	60.0	400-500	0.506067
59	50.0	60.0	400-500	0.555329
60	60.0	60.0	400-500	0.836348
61	70.0	60.0	400-500	0.025416
62	80.0	60.0	400-500	-0.029579
63	0.0	70.0	400-500	0.004229
64	10.0	70.0	400-500	0.008261
65	20.0	70.0	400-500	0.027424
66	30.0	70.0	400-500	0.427587
67	40.0	70.0	400-500	0.65305
68	50.0	70.0	400-500	1.005511
69	60.0	70.0	400-500	-0.641002
70	70.0	70.0	400-500	-0.016057
71	80.0	70.0	400-500	-0.018992
72	0.0	80.0	400-500	0.003182
73	10.0	80.0	400-500	0.007163
74	20.0	80.0	400-500	0.018382
75	30.0	80.0	400-500	-0.050088
76	40.0	80.0	400-500	0.028032
77	50.0	80.0	400-500	0.046007
78	60.0	80.0	400-500	-0.059188
79	70.0	80.0	400-500	0.00765
80	80.0	80.0	400-500	0.04321
