	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	800-900	0.304431
1	10.0	0.0	800-900	0.320663
2	20.0	0.0	800-900	0.184319
3	30.0	0.0	800-900	0.418456
4	40.0	0.0	800-900	0.488411
5	50.0	0.0	800-900	0.51762
6	60.0	0.0	800-900	0.173036
7	70.0	0.0	800-900	0.057753
8	80.0	0.0	800-900	0.31709
9	0.0	10.0	800-900	0.352604
10	10.0	10.0	800-900	0.323671
11	20.0	10.0	800-900	-0.114226
12	30.0	10.0	800-900	0.568648
13	40.0	10.0	800-900	0.712677
14	50.0	10.0	800-900	0.839856
15	60.0	10.0	800-900	0.851921
16	70.0	10.0	800-900	0.472362
17	80.0	10.0	800-900	0.166834
18	0.0	20.0	800-900	-0.198433
19	10.0	20.0	800-900	-1.578869
20	20.0	20.0	800-900	-0.356125
21	30.0	20.0	800-900	1.971347
22	40.0	20.0	800-900	2.442841
23	50.0	20.0	800-900	2.4425
24	60.0	20.0	800-900	0.457124
25	70.0	20.0	800-900	0.161296
26	80.0	20.0	800-900	0.465126
27	0.0	30.0	800-900	0.445024
28	10.0	30.0	800-900	0.018559
29	20.0	30.0	800-900	1.857476
30	30.0	30.0	800-900	1.332845
31	40.0	30.0	800-900	0.923926
32	50.0	30.0	800-900	1.662604
33	60.0	30.0	800-900	4.783775
34	70.0	30.0	800-900	0.3494
35	80.0	30.0	800-900	0.191668
36	0.0	40.0	800-900	0.189853
37	10.0	40.0	800-900	0.391165
38	20.0	40.0	800-900	0.989965
39	30.0	40.0	800-900	0.373738
40	40.0	40.0	800-900	0.920077
41	50.0	40.0	800-900	1.23407
42	60.0	40.0	800-900	0.618939
43	70.0	40.0	800-900	-0.037518
44	80.0	40.0	800-900	0.389059
45	0.0	50.0	800-900	0.381064
46	10.0	50.0	800-900	0.380784
47	20.0	50.0	800-900	0.136964
48	30.0	50.0	800-900	0.676982
49	40.0	50.0	800-900	1.198795
50	50.0	50.0	800-900	0.674664
51	60.0	50.0	800-900	0.050278
52	70.0	50.0	800-900	0.372271
53	80.0	50.0	800-900	0.107856
54	0.0	60.0	800-900	0.307936
55	10.0	60.0	800-900	0.373279
56	20.0	60.0	800-900	-0.03577
57	30.0	60.0	800-900	0.05545
58	40.0	60.0	800-900	0.183198
59	50.0	60.0	800-900	0.045921
60	60.0	60.0	800-900	-0.002317
61	70.0	60.0	800-900	0.349018
62	80.0	60.0	800-900	0.124229
63	0.0	70.0	800-900	0.334342
64	10.0	70.0	800-900	0.331613
65	20.0	70.0	800-900	0.301353
66	30.0	70.0	800-900	0.106237
67	40.0	70.0	800-900	0.011567
68	50.0	70.0	800-900	-0.026038
69	60.0	70.0	800-900	0.592719
70	70.0	70.0	800-900	0.162409
71	80.0	70.0	800-900	0.235091
72	0.0	80.0	800-900	0.293601
73	10.0	80.0	800-900	0.314721
74	20.0	80.0	800-900	0.299149
75	30.0	80.0	800-900	0.272256
76	40.0	80.0	800-900	0.355361
77	50.0	80.0	800-900	0.30883
78	60.0	80.0	800-900	0.129057
79	70.0	80.0	800-900	0.304409
80	80.0	80.0	800-900	0.324385
