	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	500-600	0.011258
1	10.0	0.0	500-600	0.011025
2	20.0	0.0	500-600	-0.018744
3	30.0	0.0	500-600	0.012007
4	40.0	0.0	500-600	0.012973
5	50.0	0.0	500-600	0.018847
6	60.0	0.0	500-600	-0.020553
7	70.0	0.0	500-600	-0.024283
8	80.0	0.0	500-600	0.012951
9	0.0	10.0	500-600	0.017871
10	10.0	10.0	500-600	0.007497
11	20.0	10.0	500-600	-0.052246
12	30.0	10.0	500-600	0.027524
13	40.0	10.0	500-600	0.025742
14	50.0	10.0	500-600	0.036653
15	60.0	10.0	500-600	0.093556
16	70.0	10.0	500-600	0.034227
17	80.0	10.0	500-600	-0.026773
18	0.0	20.0	500-600	-0.05742
19	10.0	20.0	500-600	-0.174643
20	20.0	20.0	500-600	-0.052536
21	30.0	20.0	500-600	0.013647
22	40.0	20.0	500-600	0.113656
23	50.0	20.0	500-600	0.055341
24	60.0	20.0	500-600	0.010354
25	70.0	20.0	500-600	-0.020956
26	80.0	20.0	500-600	0.023565
27	0.0	30.0	500-600	0.019433
28	10.0	30.0	500-600	-0.043441
29	20.0	30.0	500-600	0.226
30	30.0	30.0	500-600	0.686493
31	40.0	30.0	500-600	0.973245
32	50.0	30.0	500-600	0.612636
33	60.0	30.0	500-600	0.943174
34	70.0	30.0	500-600	0.011458
35	80.0	30.0	500-600	-0.011272
36	0.0	40.0	500-600	-0.029872
37	10.0	40.0	500-600	0.030093
38	20.0	40.0	500-600	0.804937
39	30.0	40.0	500-600	1.160498
40	40.0	40.0	500-600	0.859909
41	50.0	40.0	500-600	0.924188
42	60.0	40.0	500-600	0.886048
43	70.0	40.0	500-600	-0.150151
44	80.0	40.0	500-600	0.026192
45	0.0	50.0	500-600	0.060828
46	10.0	50.0	500-600	0.039836
47	20.0	50.0	500-600	1.286313
48	30.0	50.0	500-600	1.077537
49	40.0	50.0	500-600	0.760417
50	50.0	50.0	500-600	1.231653
51	60.0	50.0	500-600	1.411267
52	70.0	50.0	500-600	0.083673
53	80.0	50.0	500-600	-0.080046
54	0.0	60.0	500-600	0.036597
55	10.0	60.0	500-600	0.037911
56	20.0	60.0	500-600	2.219145
57	30.0	60.0	500-600	1.380733
58	40.0	60.0	500-600	1.372235
59	50.0	60.0	500-600	1.480635
60	60.0	60.0	500-600	1.731215
61	70.0	60.0	500-600	0.049583
62	80.0	60.0	500-600	-0.069865
63	0.0	70.0	500-600	0.007936
64	10.0	70.0	500-600	0.01677
65	20.0	70.0	500-600	0.06676
66	30.0	70.0	500-600	0.914395
67	40.0	70.0	500-600	1.524485
68	50.0	70.0	500-600	1.655193
69	60.0	70.0	500-600	-1.438849
70	70.0	70.0	500-600	-0.038196
71	80.0	70.0	500-600	-0.043964
72	0.0	80.0	500-600	0.005974
73	10.0	80.0	500-600	0.014653
74	20.0	80.0	500-600	0.037344
75	30.0	80.0	500-600	-0.1132
76	40.0	80.0	500-600	0.058646
77	50.0	80.0	500-600	0.105225
78	60.0	80.0	500-600	-0.136548
79	70.0	80.0	500-600	0.017737
80	80.0	80.0	500-600	0.097921
