	x [mm]	y [mm]	Ratio 400-500 nm [%]	Ratio 500-600 nm [%]	Ratio 600-700 nm [%]	Ratio 700-800 nm [%]	Ratio 800-900 nm [%]	Ratio 900-1100 nm [%]
0	0.0	0.0	0.13197173851240573	0.22403079096782177	0.32975011382721264	0.5032001276139474	3.8053847809121777	95.00566244816645
1	10.0	0.0	0.12366600968490553	0.21939211535815226	0.34232911676680583	0.5201297193614772	4.008289802204188	94.78619323662447
2	20.0	0.0	-0.20093864022812274	-0.37300450344593983	-0.6818690899551675	-1.1625836231301476	2.303986982378957	100.11440887438042
3	30.0	0.0	0.12416583191900166	0.23894460615878405	0.48814345255998604	0.8496066309027503	5.230704078233775	93.0684354002257
4	40.0	0.0	0.12606068945265195	0.258164983824634	0.5665085100554069	1.0052788812399784	6.1051373629877475	91.93884957243958
5	50.0	0.0	0.17828360616443883	0.37505813773344204	0.8966937129621284	1.59359249622812	6.470254007512025	90.48611803939984
6	60.0	0.0	-0.18460816016019704	-0.40899708029495024	-0.9848097455743826	-1.7891071300172563	2.162948178490956	101.20457393755584
7	70.0	0.0	-0.22878958628163118	-0.48322468654599265	-1.1969089218226674	-2.2166696581163077	0.7219115657241558	103.40368128704245
8	80.0	0.0	0.12129959982950204	0.2577326262600853	0.6378734447158022	1.1408661942909872	3.963618915889203	93.87860921901441
9	0.0	10.0	0.19564202398709385	0.35563805572888774	0.6092429145532035	0.9799710944180806	4.407543883169746	93.45196202814299
10	10.0	10.0	0.08289361694193421	0.14918810883720782	0.2732285834246027	0.4624142148054273	4.045887056501292	94.98638841948953
11	20.0	10.0	-0.5132525314994388	-1.0396869344449318	-2.0731122342059645	-3.4991036921055705	-1.427829077467381	108.55298446972328
12	30.0	10.0	0.23910214205702685	0.5477251611114086	1.153490631128366	1.8262209682978736	7.1081046653430935	89.12535643206223
13	40.0	10.0	0.217616266197598	0.5122750978132221	1.1165010701870735	1.8376192345329088	8.908456775819426	87.40753155544978
14	50.0	10.0	0.3109074605324426	0.7293869895231564	1.7948291160268033	3.1069657918949085	10.498195179406387	83.55971546261631
15	60.0	10.0	0.7802811086319942	1.8617609901768442	5.010344248297866	8.642659379440463	10.649007428981914	73.05594684447091
16	70.0	10.0	0.2867285022386422	0.6811191486267727	1.8721843227201032	3.233837166450914	5.904523675707231	88.02160718425635
17	80.0	10.0	-0.2260349324344093	-0.5327841758428702	-1.3832666033946526	-2.3660863689001057	2.0854300331343607	102.4227420474377
18	0.0	20.0	-0.5769361250195425	-1.1426554489828282	-2.1894180701988986	-3.7868420383379706	-2.48041061760379	110.17626230014304
19	10.0	20.0	-1.572626555185492	-3.475394856020834	-7.0331385818655985	-11.86419116229469	-19.735866506725962	143.6812176620926
20	20.0	20.0	-0.4351091355658207	-1.0454568488629035	-1.9835306906253403	-2.8494223559353906	-4.4515629606957585	110.76508199168521
21	30.0	20.0	0.11322685885732818	0.2715811269370434	0.46856176942015093	0.7024883063509075	24.641832134736788	73.80230980369778
22	40.0	20.0	0.9735349745428272	2.2617535129083404	3.873947792637602	5.260717447526566	30.53551539908021	57.09453087330446
23	50.0	20.0	0.48197055036805314	1.1012874528381271	2.0044614952906668	3.3394369924540475	30.531254908469805	62.54158860057931
24	60.0	20.0	0.08283925404692459	0.20604996174127096	0.4702646630275608	0.8985760715313815	5.714047627226348	92.62822242242652
25	70.0	20.0	-0.17119794478323067	-0.4170274214321253	-1.059787959819393	-1.7470950762403468	2.0161989363665547	101.37890946590854
26	80.0	20.0	0.20647872554702187	0.46895042887151756	0.8638295695219866	1.5157562078830005	5.814075615797522	91.13090945237894
27	0.0	30.0	0.17726330736484447	0.38671212023375856	0.8112702065917965	1.43108628527204	5.562795573938488	91.63087250659909
28	10.0	30.0	-0.3498165033693905	-0.8644814810595608	-1.6421423943840925	-2.3574916641616044	0.2319829555183677	104.98194908745627
29	20.0	30.0	1.643037217799576	4.4973969692329305	7.971640035121314	9.643403531682049	23.218443946305364	53.02607829985877
30	30.0	30.0	4.674638020243757	13.66121399957494	19.358984658934595	10.51424292728369	16.66056043824304	35.130359955719996
31	40.0	30.0	6.539268806210114	19.367569505297965	27.64938849987302	14.978874597424808	11.549080851931507	19.915817739262582
32	50.0	30.0	5.235403296626506	12.191459593506305	14.394421569063558	8.164566729683989	20.78254905070114	39.2315997604185
33	60.0	30.0	6.904391510545686	18.769159113327753	35.013091188913215	47.516749773698606	59.79719314880285	-68.0005847352881
34	70.0	30.0	0.0844994486872596	0.2280112521379785	0.41678812434832374	0.9836777196359615	4.3675028971854095	93.91952055800506
